hi pibo,hello. It's a pibo.
why is there no card,Find it well.
My back is bent from paying off my credit card bill,Try planning and rational consumption.
The card cost too much.,Try planning and rational consumption.
Deleting KakaoTalk conversations is questionable,Try restoring it.
why delete kakaotalk chat,Try restoring it.
What should I send on KakaoTalk?,Ask how I'm doing.
I chewed KakaoTalk,You must be busy.
There is no one to chat with,you know i have
I have no friends to chat with,you know i have
I have no friends to chat with,do it with me
I go to a job interview at a cafe,It's a job I want to try too.
Shall we go to a cafe?,A cafe date is good.
Should I commute by carpool?,It might help you financially.
Shall we carpool?,It might help you financially.
How about Kalguksu?,I guess I'll taste it.
I should say buy a couple phone case.,Pick something good.
Shall we try a couple phone case?,Pick something good.
Shall I match the coupling?,It will be a good present for each other.
Shall we match the coupling?,It will be a good present for each other.
I like it when couples wear the same clothes,Make a couple first.
you should stop drinking coffee,Too much is not good.
I want coffee,I guess it's time for some caffeine.
I need to drink coffee,I hope you have a good time.
I want to drink coffee,I guess it's time for some caffeine.
Is there anything else to drink besides coffee?,How about a cold juice?
What do you drink besides coffee?,How about a cold juice?
coffee roasting time,I like the coffee flavor.
I can't work if I don't drink coffee,"Coffee is good, but try drinking tea too."
I can't concentrate without coffee,Are you relying too much on coffee?
I need to drink some coffee.,I hope you have a good time.
need to cut down on coffee.,Too much is not good.
Are you addicted to coffee?,"Coffee is good, but try drinking tea too."
Tired of drinking coffee,I wish the coffee was self serve.
I hate drinking coffee,I wish the coffee was self serve.
Shall we say let's have a cup of coffee,It will work out.
coffee is too bitter,Add some sweet syrup.
coffee is too strong,Add some sweet syrup.
I can't concentrate because there's no coffee,Are you relying too much on coffee?
I like coffee,I like coffee too.
Shall we say let's have a cup of coffee,Be brave and say it.
drink too much coffee,I like coffee too.
I'm roasting coffee beans,I like the coffee flavor.
coffee flavor,Coffee is a scent.
coffee smells good,Coffee is a scent.
conditioning,Conditioning is really important.
I can't control my condition,Conditioning is really important.
I guess my computer is broken,Leave it to the AS center.
Computer takes a long time to boot,It often happens after a forced shutdown.
The computer is gone,Leave it to the AS center.
computer not working,Leave it to the AS center.
I need to back up my computer,It's good to do it periodically.
computer is too slow,Try formatting it.
computer is slow,Try formatting it.
computer is slow,What did you download...
My computer is really slow,What did you download...
Shall I make a cake for you?,You will love it when you receive a homemade cake.
Would you like to make your own cake?,You will love it when you receive a homemade cake.
itchy nose,It could be a nose cold.
stuffy nose,Be careful of cold.
Shall I keep my nose up?,It's cute even if you don't.
Should I put my nose up a bit?,It's cute even if you don't.
my nose tickles,Don't touch it.
tickling nose,It could be a nose cold.
itchy nose,Don't touch it.
I'm grimacing with a cold,It's important to get a good rest at a time like this.
snoring is cute,I guess I love you.
Snoring is too loud,See if you're tired or not.
How to fix snoring?,See if you're tired or not.
Should I learn some coding?,Knowing a lot would help.
cominmaeng,Be careful of cold!
I should go to coin karaoke to relieve some stress.,Play an upbeat song.
Go to coin karaoke,Play an upbeat song.
Koza,Dream of me!
Coconut oil is tasteless,I must eat in the jungle.
I hate to eat coconut oil,I must eat in the jungle.
Should I buy a coat,nice to have
Should I buy a coat or not?,nice to have
Cough Cough,Take care of your health.
I have a runny nose,I must have caught a cold.
runny nose,I must have caught a cold.
Collect all coupons.,wow congratulations
collection of coupons,wow congratulations
I want to go on a cruise,That's a great idea.
I want to travel on a cruise,That's a great idea.
something for christmas,Christmas with Kevin.
Will it snow on Christmas?,I hope it snows.
